var	 temperature 	ph 	do	bod	cod	tc	fc	tkn
1	 13.00   	7.6	8.7	2.20	16.00	6.00	100	100.00
2	 20.50   	7.6	8.6	2.00	16.00	8.00	110	100.00
3	 19.00   	7.8	8.4	1.60	16.00	9.00	170	100.00
4	 18.40   	7.9	8.3	1.00	11.00	7.00	250	100.00
5	 18.60   	8	8.2	2.40	11.30	5.00	240	100.00
6	 18.70   	8.1	8.1	2.10	17.10	5.00	300	100.00
7	 13.00   	8.4	9.8	1.60	14.80	2.00	270	2.00
8	 15.00   	8	6.6	0.40	16.00	2.00	800	2.00
9	 13.00   	8.3	8.4	0.80	15.00	2.00	130	2.00
10	 13.50   	8.1	7.4	1.60	15.00	2.00	7000	2.00
11	 18.00   	8.1	8.4	0.60	15.00	2.00	1300	2.00
12	 13.00   	8.5	8.6	2.00	15.00	2.00	1300	2.00
13	 15.00   	8.4	8	2.00	15.00	2.00	3000	2.00
14	 15.00   	8.2	7	2.00	15.00	2.00	30000	2.00
15	 15.00   	8.5	7.4	2.00	15.00	2.00	28000	2.00
16	 22.70   	8	7.2	5.00	15.00	5.00	650	100.00
17	 23.00   	8.1	7.1	5.00	15.00	5.00	800	100.00
18	 17.00   	8.4	8.6	2.00	15.00	2.00	11000	100.00
19	 16.50   	8.3	9.1	2.20	15.00	2.00	30000	100.00
20	 17.00   	8.4	7.9	2.00	15.00	2.00	3000	100.00
21	 16.00   	8.4	8.8	2.00	15.00	2.00	2300	100.00
22	 16.00   	8.3	9.2	2.00	16.00	2.00	50000	100.00
23	 16.00   	8.3	8.5	2.00	16.00	2.00	3000	100.00
24	 12.50   	8.4	8.9	2.00	16.00	2.00	8000	100.00
25	 16.00   	8.4	9.2	2.00	16.00	2.00	1700	100.00
26	 15.00   	8.4	7.6	2.00	16.00	2.00	8000	100.00
27	 15.50   	8.3	9.2	2.00	16.00	2.00	5000	100.00
28	 16.00   	8.2	9	2.00	11.00	2.00	5000	100.00
29	 16.00   	8.12	9.6	2.00	11.00	2.00	5000	5.60
30	 18.00   	8.03	9.3	2.00	14.00	2.00	1000	5.60
31	 19.00   	7.5	7.8	2.00	8.00	2.00	14000	5.60
32	 17.50   	8.23	9	2.00	9.00	2.00	15000	5.60
33	 19.00   	7.8	8.2	2.00	11.40	2.00	18000	5.60
34	 18.00   	7.91	8	2.00	12.00	2.00	20000	5.60
